date,open,high,low,close,volume,amount,outstanding_share,turnover,code
2020-01-02,584.74,635.16,582.17,620.1,9954653.0,2167567315.0,283066188.0,0.035167227390648294,603986
2020-01-03,632.73,633.86,606.35,622.56,7056444.0,1545268901.0,283066188.0,0.024928600797775254,603986
2020-01-06,608.72,649.11,608.72,638.38,6469672.0,1450349029.0,283066188.0,0.022855686317434707,603986
2020-01-07,629.9,640.86,590.36,601.04,9243858.0,1987585677.0,283066188.0,0.032656171566488895,603986
2020-01-08,600.05,612.96,594.29,603.07,5061014.0,1080656125.0,283066188.0,0.017879260097288623,603986
2020-01-09,608.44,643.72,597.9,637.81,8010653.0,1769473261.0,283066188.0,0.028299575645537714,603986
2020-01-10,629.9,701.6,629.9,692.05,8648507.0,2058410995.0,283066188.0,0.03055294968680611,603986
2020-01-13,692.13,748.2,675.66,739.5,9199618.0,2293768547.0,283066188.0,0.03249988303089029,603986
2020-01-14,723.68,737.58,704.98,717.44,7057614.0,1794191623.0,283066188.0,0.02493273410669592,603986
2020-01-15,706.48,736.62,701.31,723.63,5891978.0,1497958161.0,283066188.0,0.020814842075027342,603986
2020-01-16,721.74,740.69,706.17,712.39,4624879.0,1173776917.0,283066188.0,0.0163385073741128,603986
2020-01-17,719.31,724.98,703.49,714.67,4468618.0,1129924369.0,283066188.0,0.01578647747218753,603986
2020-01-20,718.52,780.12,718.52,779.61,7061385.0,1881473864.0,283066188.0,0.024946056079294076,603986
2020-01-21,738.66,784.61,731.59,766.68,9511933.0,2546471682.0,283066188.0,0.03360321155700871,603986
2020-01-22,757.95,824.92,742.92,818.03,6981759.0,1953000376.0,283066188.0,0.024664757911672587,603986
2020-01-23,790.91,861.53,741.62,799.39,10307637.0,2924347797.0,283066188.0,0.03641422902830062,603986
2020-02-03,719.45,728.77,719.45,719.45,4633941.0,1180697359.0,283066188.0,0.01637052108816331,603986
2020-02-04,719.73,788.57,719.45,787.8,8921930.0,2413598692.0,283066188.0,0.031518882785110315,603986
2020-02-05,791.39,829.05,779.1,795.12,9043975.0,2555335904.0,283066188.0,0.03195003636393337,603986
2020-02-06,769.02,802.44,768.31,799.72,7207122.0,2010430608.0,283066188.0,0.025460907397389335,603986
2020-02-07,793.23,843.9,783.31,831.81,7717794.0,2234333779.0,283066188.0,0.027264980160753075,603986
2020-02-10,835.54,835.85,776.79,795.43,8042376.0,2266772203.0,283066188.0,0.028411644841170505,603986
2020-02-11,786.67,817.18,786.67,799.1,5061909.0,1442405363.0,283066188.0,0.017882421901975802,603986
2020-02-12,783.09,834.78,782.44,823.85,6012883.0,1725910388.0,283066188.0,0.02124196832720975,603986
2020-02-13,837.75,906.24,836.11,898.14,11573061.0,3633693624.0,283066188.0,0.04088464638524754,603986
2020-02-14,884.13,918.02,851.87,879.64,7915968.0,2485757630.0,283066188.0,0.027965077906090288,603986
2020-02-17,872.83,911.81,872.83,898.25,5058336.0,1611570898.0,283066188.0,0.017869799412425762,603986
2020-02-18,900.74,925.51,891.22,923.87,5488880.0,1768996093.0,283066188.0,0.019390800571349058,603986
2020-02-19,918.05,1006.83,907.03,963.58,7533114.0,2564606036.0,283066188.0,0.026612553244967568,603986
2020-02-20,963.22,1059.93,957.57,1059.93,7590351.0,2728007658.0,283066188.0,0.026814756837012267,603986
2020-02-21,1054.71,1123.89,1045.13,1114.28,8219045.0,3175535778.0,283066188.0,0.029035770955448768,603986
2020-02-24,1125.64,1151.74,1077.14,1135.52,8543764.0,3369827673.0,283066188.0,0.03018291962161161,603986
2020-02-25,1107.28,1209.47,1101.63,1203.77,11251543.0,4666930561.0,283066188.0,0.039748806028362525,603986
2020-02-26,1186.37,1208.97,1083.38,1087.5,10484362.0,4235850780.0,283066188.0,0.037038552976168246,603986
2020-02-27,1115.75,1124.22,982.99,1002.99,15173660.0,5545046876.0,283066188.0,0.05360463610016185,603986
2020-02-28,972.85,1086.66,925.08,1025.47,16030265.0,5640634580.0,283066188.0,0.05663080113263121,603986
2020-03-02,1053.61,1073.38,963.22,995.25,13593380.0,4830110280.0,283066188.0,0.048021913517979055,603986
2020-03-03,1005.59,1058.69,974.52,989.49,12463833.0,4484585083.0,283066188.0,0.044031514636428425,603986
2020-03-04,960.39,971.78,890.54,908.96,17642884.0,5696808906.0,283066188.0,0.06232776907992982,603986
2020-03-05,915.2,932.15,869.44,920.56,15103525.0,4832094783.0,283066188.0,0.053356867193195115,603986
2020-03-06,895.51,926.5,889.49,909.21,7877030.0,2537137649.0,283066188.0,0.027827519972113378,603986
2020-03-09,888.36,889.78,825.43,835.88,11604774.0,3526189437.0,283066188.0,0.040996680253453655,603986
2020-03-10,856.13,889.78,838.93,888.67,13072390.0,4018060006.0,283066188.0,0.04618138991577475,603986
2020-03-11,882.66,885.82,826.25,828.82,11721055.0,3547165652.0,283066188.0,0.04140747110354275,603986
2020-03-12,814.22,858.37,809.95,847.97,10886083.0,3232645889.0,283066188.0,0.038457729893193744,603986
2020-03-13,805.57,898.81,805.04,877.4,14110385.0,4296163244.0,283066188.0,0.049848359140654414,603986
2020-03-16,866.9,866.9,789.67,789.67,12926752.0,3771996060.0,283066188.0,0.04566688833920355,603986
2020-03-17,813.51,819.16,751.37,799.7,8910811.0,2494452955.0,283066188.0,0.0314796022193933,603986
2020-03-18,805.32,823.11,761.9,772.78,9916933.0,2788225673.0,283066188.0,0.03503397233724008,603986
2020-03-19,776.79,788.06,738.88,779.58,9688106.0,2645706195.0,283066188.0,0.03422558543092402,603986
2020-03-20,792.72,796.56,717.47,773.4,10653289.0,2853217184.0,283066188.0,0.03763532859671675,603986
2020-03-23,737.24,740.07,696.06,696.06,11212803.0,2845233200.0,283066188.0,0.03961194757743373,603986
2020-03-24,714.65,716.82,653.41,689.53,12072687.0,2938344799.0,283066188.0,0.04264969647310897,603986
2020-03-25,714.65,733.99,694.93,709.84,11321041.0,2862070553.0,283066188.0,0.03999432457825023,603986
2020-03-26,699.56,727.58,692.9,695.72,8345134.0,2087182337.0,283066188.0,0.029481210945618133,603986
2020-03-27,713.23,729.33,700.52,706.37,9976959.0,2520455194.0,283066188.0,0.03524602874858371,603986
2020-03-30,689.25,727.64,669.05,713.49,11557158.0,2855059315.0,283066188.0,0.040828465178610454,603986
2020-03-31,723.12,725.38,683.6,683.6,10118800.0,2506584474.0,283066188.0,0.03574711650124741,603986
