date,open,high,low,close,volume,amount,outstanding_share,turnover,code
2020-01-02,144.05,150.73,144.05,149.79,5186092.0,766443605.0,140535394.0,0.036902390582119124,603501
2020-01-03,151.03,151.09,138.66,145.66,9797576.0,1395938695.0,140535394.0,0.06971607451429637,603501
2020-01-06,142.31,145.46,140.23,142.15,5270416.0,746033634.0,140535394.0,0.03750241024691616,603501
2020-01-07,140.64,141.63,138.37,138.53,5555554.0,770076795.0,140535394.0,0.039531351084410804,603501
2020-01-08,138.0,141.16,136.62,139.32,5951108.0,825880057.0,140535394.0,0.04234597300093669,603501
2020-01-09,141.84,148.82,141.61,148.47,7462365.0,1082956046.0,140535394.0,0.05309954160017511,603501
2020-01-10,150.16,159.93,146.06,157.03,8275650.0,1282977235.0,140535394.0,0.05888658909655172,603501
2020-01-13,157.01,170.78,154.27,168.14,7556048.0,1230434263.0,140535394.0,0.05376615658828266,603501
2020-01-14,169.77,171.3,159.74,167.2,5636619.0,931432421.0,140535394.0,0.04010818086154154,603501
2020-01-15,165.75,178.81,164.75,177.86,6167442.0,1061056031.0,140535394.0,0.04388532898694545,603501
2020-01-16,175.31,178.81,172.89,174.59,3854646.0,670997946.0,140535394.0,0.027428293259703675,603501
2020-01-17,174.99,180.1,170.66,176.3,3573192.0,623896555.0,140535394.0,0.025425566459080052,603501
2020-01-20,176.3,192.11,173.39,189.36,4773223.0,883473946.0,140535394.0,0.033964561269170385,603501
2020-01-21,186.86,198.88,184.72,184.84,5214612.0,982489571.0,140535394.0,0.03710532878286875,603501
2020-01-22,179.82,192.77,171.68,186.82,7681994.0,1397450963.0,140535394.0,0.054662343637076935,603501
2020-01-23,182.83,198.5,180.82,186.4,7665182.0,1448748008.0,140535394.0,0.05454271541018343,603501
2020-02-03,167.76,176.8,167.76,167.76,7318080.0,1236694673.0,140535394.0,0.052072860734285915,603501
2020-02-04,170.88,184.54,170.88,184.54,6465182.0,1160201922.0,140535394.0,0.04600394118509391,603501
2020-02-05,192.88,198.9,188.51,191.34,7227843.0,1392953934.0,140535394.0,0.05143076625949474,603501
2020-02-06,188.35,200.11,185.6,199.11,5903192.0,1145605472.0,140535394.0,0.042005019746128865,603501
2020-02-07,196.89,199.7,191.88,196.12,5045658.0,980282191.0,140535394.0,0.03590311206584727,603501
2020-02-10,196.1,196.11,181.6,183.84,7157942.0,1334941332.0,140535394.0,0.050933375545238094,603501
2020-02-11,183.73,189.86,182.01,188.15,4775663.0,888386238.0,140535394.0,0.03398192344342807,603501
2020-02-12,186.41,190.11,184.46,189.15,4566505.0,854289716.0,140535394.0,0.03249362932728534,603501
2020-02-13,190.85,201.92,187.35,198.26,8936059.0,1741283341.0,140535394.0,0.06358582521923267,603501
2020-02-14,195.44,201.92,187.85,191.87,7151343.0,1386530365.0,140535394.0,0.05088641940264529,603501
2020-02-17,188.86,194.89,188.33,193.87,4724081.0,904529114.0,140535394.0,0.03361488423336259,603501
2020-02-18,192.86,196.89,187.03,196.89,7592946.0,1456848396.0,156378970.0,0.04855477689870959,603501
2020-02-19,194.89,205.94,188.86,193.49,10206501.0,1988034476.0,156378970.0,0.06526773389030507,603501
2020-02-20,190.87,205.51,190.87,204.73,9049914.0,1795618190.0,156378970.0,0.057871681850826875,603501
2020-02-21,200.91,206.94,199.1,200.93,8069612.0,1619901903.0,156378970.0,0.05160292333425652,603501
2020-02-24,198.4,221.02,197.91,221.02,11309205.0,2352480374.0,156378970.0,0.07231921913796976,603501
2020-02-25,216.47,222.88,201.87,214.47,12133246.0,2578353353.0,156378970.0,0.07758873203986444,603501
2020-02-26,208.95,212.97,194.75,195.87,8670624.0,1762707830.0,156378970.0,0.055446227839971066,603501
2020-02-27,195.89,197.9,181.44,184.0,9191566.0,1710653821.0,156378970.0,0.05877750697552235,603501
2020-02-28,175.8,185.84,166.2,175.01,11486848.0,1984858097.0,156378970.0,0.07345519669300801,603501
