报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2016-12-31,-2.39亿,False,-2.33亿,False,6.10亿,False,False,-0.76,0.89,-2.63,-0.08,-39.18%,42.52%,False,False,463.21,1.06,339.78,123.42,0.46,0.25,0.25,False,180.74%
2017-12-31,2991.87万,112.53%,-6943.72万,70.21%,9.72亿,59.45%,False,0.10,0.92,-1.81,-0.08,3.08%,38.59%,False,11.24%,493.16,0.98,369.19,123.97,1.04,0.51,0.51,7.55,88.30%
2018-03-31,-5474.81万,False,-7362.04万,False,6028.98万,False,False,False,False,False,False,-90.81%,37.04%,False,False,False,False,False,False,False,False,False,False,False
2018-06-30,-1325.16万,False,-4490.90万,False,4.66亿,False,False,False,False,False,False,-2.85%,39.33%,-2.34%,False,False,False,False,False,False,False,False,False,False
2018-09-30,2702.99万,False,-2979.51万,False,9.76亿,False,False,False,False,False,False,2.77%,36.26%,4.62%,False,False,False,False,False,False,False,False,False,False
2018-12-31,9086.92万,203.72%,1.04亿,250.18%,16.39亿,68.66%,0.2000,4.40,4.77,-1.36,0.54,5.54%,35.50%,7.48%,4.29%,465.58,0.99,364.48,101.10,2.12,0.88,0.88,0.67,40.09%
2019-03-31,1384.10万,125.28%,813.00万,111.04%,3.76亿,524.13%,0.0300,4.43,4.77,-1.33,-0.48,3.68%,32.45%,False,0.65%,574.90,0.19,474.68,100.21,2.16,0.96,0.96,0.62,38.11%
2019-06-30,3037.11万,329.19%,2208.51万,149.18%,8.01亿,72.03%,0.0600,4.46,4.77,-1.29,-0.78,3.79%,35.60%,1.42%,1.41%,570.26,0.38,471.57,98.69,2.27,0.89,0.89,0.56,35.71%
2019-09-30,1.35亿,399.14%,1.19亿,500.77%,12.18亿,24.75%,0.2700,6.90,6.89,-0.97,-0.29,11.07%,38.89%,5.39%,3.65%,569.45,0.55,489.66,79.78,3.77,2.32,2.32,0.31,23.92%
2019-12-31,1.89亿,107.51%,1.48亿,41.48%,19.47亿,18.77%,0.3700,7.01,6.90,-0.90,0.25,9.69%,34.93%,6.71%,5.03%,400.94,1.08,331.83,69.11,4.29,3.00,3.00,0.27,21.43%
2020-03-31,2622.49万,89.47%,-619.38万,-176.19%,4.13亿,9.65%,0.0500,7.06,6.90,-0.85,0.46,6.35%,33.86%,0.70%,0.69%,442.19,0.25,364.37,77.82,3.67,2.65,2.65,0.38,27.64%
