报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2020-06-30,1.19亿,291.98%,4017.97万,81.93%,9.78亿,22.14%,0.2200,7.26,6.92,-0.68,0.54,12.17%,33.92%,3.12%,3.07%,358.61,0.58,310.77,47.83,3.96,2.70,2.70,0.32,24.02%
2020-09-30,2.77亿,105.26%,-4547.29万,-138.08%,14.76亿,21.26%,0.5200,7.67,7.03,-0.38,0.72,18.76%,34.78%,7.05%,6.75%,370.54,0.84,320.86,49.68,3.84,2.71,2.71,0.31,23.60%
2020-12-31,4.92亿,161.02%,2331.94万,-84.19%,22.73亿,16.76%,0.9200,8.17,7.14,-0.06,1.58,21.66%,37.67%,12.11%,11.27%,318.15,1.32,273.33,44.82,3.41,2.48,2.48,0.33,24.68%
2021-03-31,1.38亿,425.36%,1110.85万,279.35%,6.03亿,46.24%,0.2600,8.53,7.24,0.20,-0.14,22.83%,40.92%,3.09%,3.02%,335.08,0.31,288.92,46.16,3.62,2.47,2.47,0.29,22.75%
2021-06-30,3.97亿,233.17%,6161.52万,53.35%,13.39亿,36.82%,0.7400,21.17,19.50,0.59,-0.06,29.62%,42.34%,8.56%,3.05%,332.39,0.62,291.03,41.37,10.19,8.97,8.97,0.11,9.89%
2021-09-30,5.42亿,95.66%,1.65亿,462.69%,20.73亿,40.40%,0.9600,21.71,19.80,0.83,0.66,26.13%,42.68%,7.27%,4.05%,353.96,0.87,309.28,44.68,7.65,6.64,6.64,0.15,12.89%
2021-12-31,10.11亿,105.49%,3.24亿,1291.10%,31.08亿,36.72%,1.7600,22.62,19.94,1.44,1.65,32.54%,43.36%,11.09%,7.26%,334.55,1.25,288.95,45.60,5.34,4.60,4.59,0.20,16.69%
2022-03-31,1.17亿,-14.94%,1.86亿,1578.18%,9.49亿,57.31%,0.1900,22.87,20.00,1.63,-0.44,12.33%,45.47%,0.84%,0.83%,384.69,0.27,335.32,49.37,5.09,4.21,4.20,0.20,16.89%
2022-06-30,4.68亿,17.94%,4.41亿,615.26%,19.72亿,47.30%,0.7600,23.83,20.38,2.20,0.10,23.66%,45.36%,3.28%,3.19%,403.98,0.51,355.03,48.95,4.62,3.73,3.72,0.24,19.43%
2022-09-30,7.93亿,46.34%,6.44亿,290.43%,30.43亿,46.81%,1.2900,24.45,20.47,2.73,0.12,26.01%,45.51%,5.47%,5.26%,457.03,0.66,407.30,49.73,4.02,3.06,3.05,0.27,21.40%
2022-12-31,11.70亿,15.66%,9.19亿,183.44%,47.40亿,52.50%,1.9000,25.13,20.52,3.20,1.00,24.64%,45.74%,7.94%,7.55%,404.22,1.00,361.41,42.81,3.74,2.83,2.81,0.29,22.72%
2023-03-31,2.75亿,134.98%,2.28亿,22.22%,12.23亿,28.86%,0.4500,25.66,20.60,3.65,-0.56,22.48%,45.87%,1.76%,1.74%,538.65,0.19,483.09,55.56,3.78,2.75,2.74,0.28,21.98%
2023-06-30,10.03亿,114.40%,5.19亿,17.75%,25.27亿,28.13%,1.6300,27.15,20.93,4.81,-1.11,39.67%,45.89%,6.25%,5.98%,524.19,0.38,474.43,49.76,4.17,3.01,3.00,0.23,18.79%
2023-09-30,11.60亿,46.27%,7.34亿,13.94%,40.41亿,32.80%,1.8800,27.39,21.10,4.87,-2.06,28.67%,45.83%,7.18%,6.85%,518.25,0.58,462.09,56.16,4.46,3.07,3.06,0.21,17.48%
2023-12-31,17.86亿,52.67%,11.91亿,29.58%,62.64亿,32.15%,2.8900,28.79,21.50,5.77,-1.58,28.48%,45.83%,10.72%,10.02%,457.72,0.89,406.46,51.26,4.16,2.82,2.81,0.21,17.20%
2024-03-31,2.49亿,-9.53%,2.63亿,15.40%,16.05亿,31.23%,0.4000,28.95,21.64,6.17,-0.95,15.50%,44.94%,1.38%,1.39%,580.97,0.18,501.39,79.58,3.58,2.17,2.17,0.25,19.88%
2024-06-30,5.17亿,-48.48%,4.83亿,-6.88%,34.48亿,36.46%,0.8400,29.25,21.94,6.28,0.61,14.97%,41.32%,2.85%,2.84%,558.98,0.37,491.00,67.99,2.98,1.68,1.68,0.33,25.04%
2024-09-30,9.13亿,-21.28%,8.13亿,10.88%,55.07亿,36.27%,1.4800,30.17,22.22,6.92,0.43,16.56%,42.22%,4.96%,4.87%,573.95,0.53,512.63,61.33,2.87,1.46,1.46,0.35,25.85%
2024-12-31,16.16亿,-9.53%,13.88亿,16.51%,90.65亿,44.73%,2.6100,31.71,22.66,8.03,2.34,17.81%,41.06%,8.66%,8.19%,430.61,0.95,380.63,49.98,3.18,1.79,1.78,0.33,24.72%
2025-03-31,3.13亿,25.67%,2.98亿,13.44%,21.73亿,35.40%,0.5000,32.37,22.80,8.54,0.61,14.18%,41.54%,1.57%,1.55%,574.05,0.18,513.11,60.94,3.01,1.65,1.64,0.35,25.74%
2025-06-30,7.06亿,36.62%,5.39亿,11.49%,49.61亿,43.88%,1.1300,33.33,23.19,9.11,0.32,13.83%,39.86%,3.49%,3.38%,516.03,0.39,456.04,59.99,2.88,1.54,1.53,0.36,26.64%
2025-09-30,12.11亿,32.66%,8.87亿,9.01%,80.63亿,46.40%,1.9400,34.29,23.64,9.62,2.07,14.65%,39.10%,5.87%,5.64%,476.48,0.64,418.80,57.68,2.62,1.40,1.40,0.39,28.02%
2025-12-31,21.11亿,30.69%,15.50亿,11.64%,123.85亿,36.62%,3.4000,36.25,24.02,11.05,3.67,16.67%,39.17%,9.97%,9.30%,387.99,1.06,339.46,48.53,3.05,1.76,1.75,0.31,23.85%
2026-03-31,9.30亿,197.20%,4.78亿,60.09%,29.15亿,34.13%,1.4800,38.82,24.77,12.54,-0.25,31.51%,39.89%,4.00%,3.83%,440.81,0.24,370.52,70.29,3.23,1.87,1.86,0.29,22.18%
