报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2016-12-31,9280.43万,False,315.40万,False,8.45亿,False,0.1200,1.17,0.09,-0.02,0.51,10.98%,51.20%,11.35%,10.51%,248.64,1.61,223.59,25.05,4.90,2.42,2.42,0.27,21.25%
2017-12-31,3.47亿,273.81%,2.74亿,8599.25%,12.28亿,45.28%,0.4600,1.57,0.09,0.41,0.30,28.26%,53.49%,33.52%,29.23%,148.62,2.94,122.51,26.11,5.32,3.96,3.96,0.24,19.51%
2018-03-31,1.59亿,False,1.52亿,False,3.37亿,False,False,False,False,False,False,47.16%,False,False,False,False,False,False,False,False,False,False,False,False
2018-06-30,3.17亿,False,3.04亿,False,7.09亿,False,0.4000,False,False,False,False,44.65%,68.35%,20.15%,False,False,False,False,False,False,False,False,False,False
2018-09-30,5.63亿,False,5.52亿,False,12.51亿,False,0.6800,False,False,False,False,45.02%,70.18%,30.37%,False,False,False,False,False,False,False,False,False,False
2018-12-31,7.37亿,112.41%,6.98亿,154.56%,17.58亿,43.19%,0.8700,3.56,1.80,0.65,0.95,41.92%,70.54%,37.11%,20.38%,124.93,4.09,88.03,36.91,9.57,9.25,9.25,0.16,13.51%
2019-03-31,2.26亿,42.02%,2.16亿,42.25%,4.05亿,20.07%,0.2200,False,False,False,False,55.78%,76.21%,False,False,False,False,False,False,False,False,False,False,False
2019-06-30,4.51亿,42.38%,4.31亿,41.67%,8.79亿,23.98%,0.4400,4.01,2.03,0.87,0.36,51.28%,73.60%,11.49%,11.06%,142.64,1.83,98.30,44.34,16.33,15.74,15.74,0.10,9.10%
2019-09-30,7.44亿,31.99%,7.15亿,29.62%,13.84亿,10.64%,0.7100,6.34,4.16,1.04,0.57,53.71%,74.23%,15.89%,10.38%,122.70,3.51,76.87,45.83,28.76,28.36,28.36,0.06,5.62%
2019-12-31,9.33亿,26.60%,8.35亿,19.54%,17.38亿,-1.13%,0.8800,6.49,4.16,1.16,0.77,53.68%,73.96%,17.66%,12.73%,149.02,3.26,110.38,38.64,27.45,26.80,26.80,0.06,5.80%
2020-03-31,2.63亿,16.50%,2.18亿,1.16%,4.96亿,22.49%,0.2300,6.80,4.21,1.39,0.24,53.05%,72.53%,3.50%,3.42%,127.01,0.91,98.96,28.06,25.36,24.83,24.83,0.06,6.03%
2020-06-30,6.02亿,33.43%,5.22亿,20.96%,10.90亿,23.93%,0.5300,6.85,4.26,1.39,0.57,55.21%,73.70%,7.87%,7.78%,125.77,1.72,104.80,20.97,12.76,12.43,12.43,0.10,9.42%
2020-09-30,8.78亿,18.06%,6.83亿,-4.40%,14.68亿,6.08%,0.7800,7.03,4.31,1.63,0.70,59.78%,72.89%,11.47%,11.05%,143.77,2.24,120.58,23.19,32.73,29.58,29.58,0.05,5.19%
2020-12-31,11.04亿,18.31%,7.60亿,-9.01%,18.24亿,4.95%,0.9800,7.14,4.34,1.79,0.89,60.52%,72.27%,14.39%,13.68%,143.85,2.95,122.20,21.65,28.17,27.23,27.23,0.04,4.15%
2021-03-31,1.34亿,-49.00%,7415.69万,-66.03%,3.00亿,-39.58%,0.1200,7.35,4.40,1.90,0.11,44.78%,65.13%,1.64%,1.61%,193.38,0.55,164.47,28.90,27.65,26.70,26.70,0.05,4.36%
