报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2016-12-31,3.77亿,False,False,False,29.12亿,False,False,False,False,False,False,10.86%,29.16%,False,False,False,False,False,False,1.86,1.86,0.0000,1.14,46.58%
2017-12-31,12.45亿,230.56%,2.73亿,False,213.90亿,634.48%,0.2700,6.97,0.95,0.04,1.55,4.22%,24.76%,4.26%,3.64%,135.03,3.96,91.01,44.02,2.43,1.97,1.95,0.99,43.58%
2018-06-30,8097.60万,False,False,False,17.39亿,False,False,False,False,False,False,3.41%,25.44%,False,False,False,False,False,False,False,False,False,False,False
2018-12-31,7.47亿,-39.98%,-6.17亿,-325.73%,230.17亿,7.61%,0.1400,8.17,0.95,0.06,1.01,1.57%,23.02%,1.99%,1.82%,130.13,4.16,86.48,43.66,2.39,2.03,2.02,0.92,38.18%
2019-03-31,2.17亿,False,-3.29亿,False,46.25亿,False,0.0400,False,False,False,False,6.45%,18.77%,0.53%,False,False,False,False,False,2.15,2.15,0.0000,False,40.75%
2019-06-30,3.23亿,298.32%,-5.96亿,False,101.72亿,484.96%,0.0600,False,False,False,False,1.00%,20.99%,0.78%,5.91%,False,False,False,False,2.03,2.03,0.0000,1.19,40.41%
2019-09-30,11.47亿,False,-1.85亿,False,159.72亿,False,0.2200,False,False,False,False,4.47%,20.64%,2.70%,20.67%,False,False,False,False,2.35,2.35,0.0000,1.17,40.30%
2019-12-31,17.94亿,140.04%,-5.22亿,15.36%,220.18亿,-4.34%,0.3400,8.62,6.86,0.75,1.61,5.76%,20.83%,4.25%,4.12%,142.32,3.95,91.22,51.10,2.39,2.07,2.07,1.00,37.94%
2020-03-31,4.37亿,101.42%,1.43亿,143.34%,64.01亿,38.42%,0.0800,8.15,6.99,0.83,0.30,5.44%,21.58%,0.99%,0.98%,128.21,1.15,78.30,49.91,2.10,1.82,1.81,1.20,42.39%
2020-06-30,13.86亿,329.83%,5.42亿,190.95%,131.61亿,29.38%,0.2600,8.69,7.43,0.94,0.57,9.20%,23.50%,3.07%,2.79%,131.60,2.21,81.60,50.00,2.61,2.31,2.30,1.03,35.37%
2020-09-30,30.80亿,168.63%,16.56亿,994.84%,208.00亿,30.23%,0.5100,12.91,12.17,0.89,1.14,14.21%,24.53%,5.20%,3.04%,121.51,3.57,75.72,45.79,3.55,3.28,3.28,0.53,27.42%
2020-12-31,43.32亿,141.52%,16.97亿,425.02%,274.71亿,24.77%,0.6700,15.60,12.23,1.05,1.71,14.64%,23.78%,6.29%,4.37%,123.13,4.36,82.60,40.53,4.20,3.86,3.86,0.64,30.77%
2021-03-31,10.32亿,136.39%,6.78亿,375.85%,72.92亿,13.92%,0.1300,12.76,12.19,1.15,0.43,10.33%,26.97%,1.00%,1.02%,133.54,0.96,93.45,40.09,5.23,4.79,4.78,0.56,27.99%
2021-06-30,52.41亿,278.05%,23.39亿,331.64%,160.90亿,22.25%,0.6600,13.12,12.22,1.68,1.30,31.65%,26.67%,5.20%,5.05%,128.15,2.05,87.72,40.43,4.37,3.87,3.86,0.58,29.19%
2021-09-30,73.18亿,137.59%,37.32亿,125.29%,253.71亿,21.98%,0.9300,13.50,12.31,1.95,1.79,29.57%,27.94%,7.10%,6.86%,129.43,2.96,91.32,38.12,3.97,3.46,3.44,0.60,29.60%
