报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2019-03-31,3967.51万,-55.58%,3181.46万,-62.03%,4.56亿,-15.73%,0.1411,7.02,2.68,3.84,0.12,8.67%,38.48%,2.03%,1.98%,205.92,0.48,185.64,20.28,3.74,2.40,2.40,0.38,27.66%
2019-06-30,1.87亿,-20.24%,1.59亿,-27.39%,12.02亿,8.63%,0.4700,11.73,7.17,3.78,1.14,15.56%,37.85%,8.22%,5.20%,161.43,1.27,142.18,19.25,2.11,1.36,1.36,0.30,23.05%
2019-09-30,4.50亿,22.42%,3.95亿,15.46%,22.04亿,28.04%,1.0900,15.43,9.97,4.43,2.19,20.36%,39.09%,14.75%,9.07%,138.93,2.24,120.35,18.58,4.54,3.50,3.50,0.17,14.52%
2019-12-31,6.07亿,49.85%,5.66亿,56.70%,32.03亿,42.62%,1.4400,17.39,10.01,4.78,3.01,18.90%,40.52%,16.96%,11.61%,135.21,3.03,118.91,16.30,4.23,3.23,3.23,0.18,15.35%
2020-03-31,1.68亿,323.24%,1.49亿,369.14%,8.05亿,76.51%,0.3764,16.95,10.03,5.38,-0.22,20.82%,40.92%,3.15%,3.09%,153.98,0.67,134.63,19.35,5.37,3.79,3.79,0.15,13.28%
2020-06-30,3.63亿,93.73%,3.12亿,95.56%,16.58亿,37.91%,0.5800,21.45,15.74,4.39,0.16,21.90%,40.58%,5.85%,3.60%,160.76,1.27,141.29,19.48,14.03,12.26,12.26,0.08,7.75%
2020-09-30,6.73亿,49.65%,5.76亿,45.77%,31.74亿,44.02%,1.0500,22.22,15.88,5.05,1.31,21.20%,40.67%,8.91%,6.42%,123.21,2.82,95.66,27.55,11.01,10.04,10.04,0.10,8.94%
2020-12-31,8.81亿,45.11%,5.55亿,-1.79%,44.97亿,40.40%,1.3600,22.68,15.95,5.32,2.25,19.58%,37.38%,10.64%,8.24%,101.84,4.12,87.47,14.37,11.24,10.20,10.20,0.10,8.68%
2021-03-31,3.01亿,79.43%,2.77亿,85.50%,16.04亿,99.13%,0.4600,23.29,16.54,5.93,0.92,18.78%,35.76%,2.77%,2.73%,81.52,1.26,71.17,10.34,7.75,6.96,6.96,0.14,12.02%
2021-06-30,7.86亿,116.32%,7.40亿,137.60%,36.41亿,119.62%,1.1900,17.05,11.63,4.56,1.22,21.58%,40.27%,7.08%,6.94%,87.15,2.36,76.34,10.81,7.13,6.27,6.27,0.15,12.93%
2021-09-30,16.48亿,144.92%,15.64亿,171.76%,63.30亿,99.45%,2.5000,18.90,11.92,5.85,2.60,26.04%,44.32%,14.16%,13.10%,84.18,3.70,72.98,11.21,6.16,5.39,5.39,0.16,13.89%
2021-12-31,23.37亿,165.33%,22.24亿,300.48%,85.10亿,89.25%,3.5400,20.20,12.17,6.73,3.39,27.46%,46.54%,19.44%,17.33%,96.18,4.16,86.58,9.60,6.88,5.91,5.91,0.14,12.55%
2022-03-31,6.86亿,127.71%,6.55亿,136.51%,22.30亿,39.02%,1.0400,21.30,12.28,7.76,-0.0010,30.76%,49.49%,4.95%,4.83%,137.51,0.71,126.51,11.00,8.87,7.16,7.16,0.11,10.26%
2022-06-30,15.27亿,94.34%,14.68亿,98.25%,47.81亿,31.32%,2.3100,21.78,12.38,7.96,0.16,31.94%,49.44%,10.73%,10.51%,140.27,1.39,129.63,10.64,7.88,6.20,6.20,0.12,10.51%
2022-09-30,20.92亿,26.92%,19.99亿,27.80%,67.69亿,6.94%,3.1600,22.80,12.37,8.81,0.66,30.90%,48.46%,14.31%,13.76%,150.48,1.92,140.46,10.01,10.10,7.87,7.87,0.09,8.51%
2022-12-31,20.53亿,-12.15%,19.10亿,-14.16%,81.30亿,-4.47%,3.1000,22.77,12.44,8.75,1.42,25.25%,47.66%,14.38%,13.52%,161.78,2.36,152.39,9.38,9.54,7.45,7.45,0.10,8.77%
2023-03-31,1.50亿,-78.13%,1.30亿,-80.14%,13.41亿,-39.85%,0.2300,23.03,12.49,8.98,0.34,11.19%,38.25%,0.98%,0.98%,246.68,0.38,237.59,9.09,11.66,9.03,9.03,0.08,7.54%
2023-06-30,3.36亿,-78.00%,2.75亿,-81.23%,29.66亿,-37.97%,0.5100,22.91,12.52,8.65,0.97,11.33%,33.43%,2.19%,2.20%,202.73,0.93,194.59,8.14,11.40,8.92,8.92,0.08,7.57%
2023-09-30,4.34亿,-79.27%,3.41亿,-82.97%,43.94亿,-35.08%,0.6500,23.30,12.59,8.80,1.47,9.87%,34.38%,2.81%,2.79%,207.72,1.36,198.75,8.97,10.24,8.05,8.05,0.09,8.46%
2023-12-31,1.61亿,-92.15%,2740.06万,-98.57%,57.61亿,-29.14%,0.2400,22.79,12.57,8.42,1.78,2.80%,34.42%,1.06%,1.06%,205.49,1.82,197.49,8.01,11.77,9.34,9.34,0.08,7.63%
2024-03-31,2.05亿,36.45%,1.84亿,41.26%,16.27亿,21.32%,0.3100,23.00,12.61,8.72,0.94,12.58%,38.16%,1.34%,1.34%,185.80,0.51,177.44,8.36,8.41,6.78,6.78,0.11,10.13%
2024-06-30,5.17亿,53.88%,4.73亿,71.87%,36.09亿,21.69%,0.7800,23.44,12.67,9.19,1.87,14.33%,38.16%,3.36%,3.31%,166.52,1.14,158.34,8.18,7.22,5.73,5.73,0.11,10.30%
2024-09-30,8.32亿,91.87%,7.77亿,128.31%,56.50亿,28.56%,1.2600,24.02,12.61,9.68,2.79,14.73%,39.46%,5.34%,5.20%,167.32,1.70,159.01,8.31,6.07,4.84,4.84,0.14,11.93%
2024-12-31,11.03亿,584.21%,10.30亿,3660.79%,73.56亿,27.69%,1.6600,24.84,12.53,10.23,3.06,14.97%,38.00%,6.94%,6.68%,179.17,2.10,171.18,7.98,5.34,4.16,4.16,0.15,13.26%
2025-03-31,2.35亿,14.57%,2.24亿,21.83%,19.09亿,17.32%,0.3500,25.29,12.59,10.66,0.51,12.56%,37.44%,1.41%,1.40%,191.86,0.50,181.05,10.81,5.71,4.40,4.40,0.15,12.76%
2025-06-30,5.75亿,11.31%,5.44亿,14.99%,41.50亿,15.00%,0.8700,25.96,12.66,10.90,1.44,14.16%,37.21%,3.41%,3.34%,173.48,1.10,163.95,9.53,5.97,4.60,4.60,0.14,11.94%
2025-09-30,10.83亿,30.18%,10.42亿,34.04%,68.32亿,20.92%,1.6400,27.27,13.16,11.67,2.69,16.17%,38.59%,6.30%,5.95%,166.95,1.71,158.10,8.86,6.34,4.89,4.89,0.13,11.35%
2025-12-31,16.48亿,49.47%,14.69亿,42.57%,92.03亿,25.12%,2.4800,28.46,13.28,12.59,3.19,18.23%,40.22%,9.30%,8.67%,184.97,2.03,177.06,7.91,6.89,4.97,4.97,0.11,10.16%
2026-03-31,14.61亿,522.79%,14.10亿,529.90%,41.88亿,119.38%,2.1900,36.05,19.49,14.08,2.54,35.16%,57.08%,6.12%,5.78%,167.05,0.56,161.90,5.15,9.66,7.76,7.76,0.09,8.13%
