报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2011-12-31,1787.53万,False,1418.75万,False,3.22亿,False,0.2900,2.77,2.02,0.04,-0.26,5.55%,19.82%,16.09%,10.31%,136.90,2.89,124.78,12.12,2.57,1.30,1.30,0.55,35.49%
2012-12-31,6333.30万,254.30%,6237.16万,339.62%,8.35亿,159.48%,0.8600,3.63,2.27,0.31,0.44,7.58%,19.63%,29.28%,23.74%,66.06,6.89,52.24,13.82,2.84,1.50,1.50,0.55,35.66%
2013-12-31,6735.04万,6.34%,5796.35万,-7.07%,7.89亿,-5.55%,0.9000,4.42,2.27,1.13,1.34,8.54%,21.93%,22.51%,20.32%,94.94,4.95,72.68,22.27,3.93,2.37,2.37,0.43,30.16%
2014-12-31,9812.25万,45.69%,7494.61万,29.30%,9.47亿,20.02%,1.3100,5.60,2.27,2.20,1.27,10.38%,25.22%,25.78%,23.37%,111.50,4.33,83.15,28.35,3.18,2.09,2.09,0.52,34.01%
2015-03-31,3479.94万,False,3115.43万,False,2.43亿,False,0.4600,False,False,False,0.06,14.33%,False,7.95%,False,False,False,False,False,False,False,False,False,False
2015-06-30,6236.72万,False,5504.45万,False,4.89亿,False,0.8300,False,False,False,0.59,12.75%,28.33%,13.90%,False,False,False,False,False,False,False,False,False,False
2015-09-30,1.21亿,False,1.09亿,False,8.27亿,False,1.6100,False,False,False,1.31,14.51%,28.27%,25.38%,False,False,False,False,False,False,False,False,False,False
2015-12-31,1.58亿,60.80%,1.42亿,89.16%,11.89亿,25.57%,2.1038,7.62,2.27,3.92,2.90,13.12%,28.67%,31.92%,27.62%,120.74,4.20,85.65,35.09,3.25,2.26,2.26,0.58,36.58%
2016-03-31,3578.21万,2.82%,3578.21万,14.85%,3.09亿,27.09%,0.4771,8.09,False,False,-0.42,11.89%,28.85%,6.08%,5.90%,False,False,False,False,False,False,False,0.47,32.12%
2016-06-30,8990.58万,44.16%,8439.63万,53.32%,6.55亿,34.09%,0.5994,8.86,2.27,5.11,-0.0072,13.95%,27.40%,14.55%,13.54%,130.46,1.88,95.93,34.53,4.06,2.55,2.55,0.43,29.93%
2016-09-30,1.45亿,19.53%,1.25亿,14.68%,10.49亿,26.77%,0.9296,12.37,6.62,4.38,0.34,13.92%,27.35%,20.57%,11.69%,133.87,2.66,101.57,32.29,5.26,3.87,3.87,0.27,21.37%
2016-12-31,1.76亿,11.82%,1.51亿,6.33%,14.89亿,25.25%,1.0600,12.79,6.66,4.53,0.84,11.73%,26.72%,21.18%,13.80%,131.18,3.48,103.36,27.82,4.54,3.16,3.16,0.31,23.39%
2017-03-31,6948.90万,94.20%,6436.31万,79.88%,4.52亿,46.61%,0.3475,13.46,6.66,5.22,-0.13,15.40%,29.76%,5.29%,5.16%,137.81,0.79,114.20,23.61,5.77,4.04,4.04,0.24,19.61%
2017-06-30,1.79亿,99.59%,1.58亿,87.73%,9.39亿,43.29%,0.6400,7.12,3.42,2.86,0.66,19.20%,35.69%,13.01%,12.43%,141.45,1.47,122.10,19.35,4.08,2.96,2.96,0.33,24.83%
2017-09-30,3.39亿,134.74%,2.83亿,127.04%,15.17亿,44.69%,1.2123,7.91,3.48,3.65,1.18,22.38%,38.57%,23.51%,21.17%,151.00,2.05,131.68,19.32,3.82,2.59,2.59,0.33,24.82%
2017-12-31,3.97亿,125.26%,3.32亿,119.93%,20.30亿,36.32%,1.4200,8.74,3.53,3.79,0.98,19.59%,39.16%,26.27%,22.63%,168.24,2.39,150.76,17.48,2.58,1.37,1.37,0.47,31.74%
2018-03-31,8932.66万,28.55%,8379.14万,30.19%,5.42亿,19.71%,0.3190,8.44,3.59,4.23,0.18,16.55%,38.24%,5.15%,5.22%,195.73,0.51,176.02,19.70,2.66,1.37,1.37,0.48,32.30%
2018-06-30,2.35亿,30.99%,2.19亿,38.52%,11.07亿,17.88%,0.8400,6.46,2.31,3.25,0.65,21.22%,37.87%,13.46%,12.82%,191.78,1.04,173.56,18.22,2.82,1.45,1.45,0.43,30.17%
2018-09-30,3.67亿,8.21%,3.42亿,20.85%,17.21亿,13.45%,1.3100,6.71,2.51,3.71,1.06,21.30%,38.41%,19.99%,19.22%,191.62,1.56,172.59,19.03,2.98,1.63,1.63,0.48,32.58%
2018-12-31,4.05亿,1.91%,3.61亿,8.87%,22.46亿,10.65%,1.4400,6.76,2.58,3.70,2.18,17.99%,38.25%,22.25%,21.35%,178.94,2.21,163.12,15.81,2.82,1.71,1.71,0.51,33.68%
