报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2005-12-31,3217.53万,False,False,False,4.14亿,False,False,False,0.52,1.16,False,9.51%,32.68%,False,False,240.37,2.28,158.05,82.32,1.48,0.91,0.91,1.94,60.50%
2006-12-31,3571.56万,11.00%,False,False,4.64亿,12.02%,False,False,0.55,2.01,False,10.20%,33.10%,False,False,232.80,2.34,154.14,78.65,1.39,0.81,0.81,1.72,58.42%
2007-12-31,3510.35万,-1.71%,3341.18万,False,5.31亿,14.41%,0.7200,4.16,0.55,2.46,1.41,8.20%,30.42%,18.72%,17.41%,220.30,2.55,141.20,79.10,1.31,0.84,0.84,1.80,59.71%
2008-03-31,1282.45万,False,False,False,1.15亿,False,False,False,0.55,2.71,False,12.97%,36.45%,False,False,293.23,0.49,184.46,108.76,1.46,0.87,0.87,1.61,57.49%
2008-06-30,2300.57万,False,False,False,2.63亿,False,False,False,0.55,2.92,False,10.33%,31.95%,False,False,265.04,1.11,162.38,102.66,1.59,0.92,0.92,1.77,59.77%
2008-09-30,3377.20万,False,False,False,4.05亿,False,False,False,0.55,3.14,False,10.13%,32.66%,False,False,265.88,1.67,161.42,104.47,1.58,0.97,0.97,1.84,60.58%
2008-12-31,3916.84万,11.58%,3588.52万,7.40%,5.80亿,9.16%,0.8100,4.96,0.55,3.19,0.84,8.52%,29.34%,17.72%,16.29%,226.42,2.58,139.36,87.06,1.47,0.91,0.91,1.73,58.87%
2009-03-31,1285.55万,0.24%,False,False,1.43亿,23.65%,0.2700,5.27,0.55,3.50,-0.70,10.95%,35.72%,5.17%,5.04%,273.62,0.56,160.51,113.11,1.68,1.08,1.08,1.61,57.37%
2009-06-30,3424.48万,48.85%,3206.73万,False,2.91亿,10.60%,0.7100,5.67,0.55,3.90,0.55,14.04%,36.36%,13.30%,12.47%,263.87,1.16,155.66,108.22,1.54,1.02,1.02,1.56,56.59%
2009-09-30,4573.50万,35.42%,False,False,4.04亿,-0.26%,0.9400,False,False,False,False,13.64%,36.37%,False,False,False,False,False,False,False,False,False,False,False
2009-12-31,4960.66万,26.65%,4479.90万,24.84%,5.87亿,1.36%,1.0200,5.99,0.55,4.13,1.60,10.27%,33.85%,18.70%,17.10%,257.96,2.37,151.67,106.28,2.57,1.80,1.80,2.24,65.20%
2010-03-31,1426.86万,10.99%,1400.14万,False,1.66亿,16.06%,0.2800,12.64,8.11,3.30,-0.71,10.01%,32.85%,4.80%,1.74%,253.55,0.66,136.49,117.07,4.08,3.25,3.25,0.82,43.49%
2010-06-30,4438.38万,29.61%,4370.19万,36.28%,3.55亿,21.97%,0.7600,13.13,8.11,3.78,-0.35,14.37%,36.15%,7.33%,5.20%,264.79,1.14,158.33,106.46,3.67,2.77,2.77,0.86,44.68%
2010-09-30,6411.86万,40.20%,6319.57万,False,5.55亿,37.48%,1.0600,13.43,8.11,4.09,1.99,13.51%,35.07%,9.36%,7.35%,282.40,1.52,177.87,104.53,3.24,2.32,2.32,1.10,50.66%
2010-12-31,7538.86万,51.97%,7835.98万,74.91%,8.10亿,37.94%,0.9300,13.73,8.17,4.21,4.01,12.06%,32.56%,10.61%,9.09%,263.52,2.04,176.67,86.85,2.86,1.94,1.94,1.24,53.51%
2011-03-31,1957.03万,37.16%,2121.01万,51.49%,2.49亿,50.04%,0.1300,14.06,8.17,4.54,-1.21,10.26%,31.52%,2.38%,2.35%,303.53,0.40,222.83,80.70,2.61,1.56,1.56,1.29,54.52%
2011-06-30,6000.65万,35.20%,6667.70万,52.57%,5.57亿,56.85%,0.3900,14.66,8.17,5.14,-1.99,14.48%,33.21%,7.27%,7.06%,311.92,0.79,228.17,83.75,2.42,1.36,1.36,1.33,55.17%
2011-09-30,9808.93万,52.98%,1.07亿,69.33%,8.37亿,50.44%,0.6400,11.76,6.06,4.44,-0.70,15.23%,32.89%,11.40%,10.86%,317.18,1.18,229.65,87.53,2.54,1.44,1.44,1.31,54.87%
2011-12-31,1.33亿,76.32%,1.39亿,76.89%,11.56亿,42.67%,0.8700,11.85,5.92,4.52,-0.33,13.67%,33.40%,13.89%,13.27%,294.01,1.69,213.42,80.59,2.20,1.16,1.16,1.76,61.86%
2012-03-31,2662.93万,36.07%,2623.79万,23.70%,2.72亿,9.31%,0.1800,6.71,2.84,2.63,-0.70,11.73%,34.65%,2.62%,2.61%,373.35,0.36,251.40,121.95,2.33,1.28,1.28,1.62,59.85%
2012-06-30,7539.87万,25.65%,7462.30万,11.92%,5.63亿,1.04%,0.2500,7.03,2.84,2.95,-0.60,15.47%,35.77%,7.28%,7.06%,386.07,0.74,244.76,141.31,2.30,1.32,1.32,1.60,59.70%
2012-09-30,1.05亿,7.35%,1.01亿,-5.80%,7.29亿,-12.82%,0.3400,9.67,5.75,2.72,-0.99,16.99%,40.34%,9.44%,6.18%,476.17,0.87,310.20,165.97,3.07,2.04,2.04,1.03,49.37%
2012-12-31,1.41亿,6.19%,1.35亿,-2.56%,10.12亿,-12.44%,0.4400,9.87,5.75,2.86,-0.12,16.50%,39.42%,11.14%,8.12%,436.68,1.26,285.99,150.69,2.32,1.65,1.65,1.00,48.53%
2013-03-31,1414.99万,-46.86%,1050.82万,-59.95%,1.84亿,-32.38%,0.0400,9.95,5.75,2.94,-0.19,9.34%,35.87%,0.81%,0.81%,619.35,0.26,346.95,272.40,2.38,1.63,1.63,0.99,48.22%
2013-06-30,5478.97万,-27.33%,4273.10万,-42.74%,4.21亿,-25.20%,0.1600,5.04,2.38,1.54,-0.22,15.87%,41.75%,3.11%,3.09%,594.86,0.53,341.62,253.24,2.21,1.48,1.48,1.01,48.73%
2013-09-30,7936.86万,-24.62%,6486.62万,-35.65%,5.90亿,-19.12%,0.2300,5.11,2.38,1.61,-0.25,16.92%,43.73%,4.48%,4.41%,677.43,0.64,420.63,256.80,2.27,1.36,1.36,1.00,48.41%
2013-12-31,1.03亿,-26.97%,8534.67万,-36.81%,8.60亿,-15.09%,0.2900,5.18,2.38,1.64,-0.07,15.36%,41.90%,5.79%,5.65%,591.84,0.95,380.55,211.29,2.17,1.20,1.20,1.00,48.59%
2014-03-31,178.11万,-87.41%,-375.22万,-135.71%,1.64亿,-10.98%,0.0100,5.18,2.38,1.65,-0.25,3.25%,39.25%,0.10%,0.10%,840.80,0.16,568.90,271.90,2.14,1.09,1.09,0.98,48.07%
2014-06-30,2006.81万,-63.37%,904.94万,-78.82%,3.80亿,-9.66%,0.0600,5.14,2.38,1.60,-0.10,9.03%,40.69%,1.09%,1.11%,766.33,0.35,518.43,247.90,1.78,0.91,0.91,1.11,51.12%
2014-09-30,3589.34万,-54.78%,2028.99万,-68.72%,5.65亿,-4.27%,0.1000,5.18,2.38,1.64,-0.0084,10.38%,41.18%,1.96%,1.97%,784.05,0.50,537.63,246.42,1.78,0.89,0.89,1.10,50.66%
2014-12-31,4187.24万,-59.38%,216.58万,-97.46%,9.62亿,11.89%,0.1200,5.20,2.38,1.66,0.26,7.65%,34.62%,2.29%,2.29%,516.43,1.06,338.09,178.34,1.83,1.02,1.02,1.05,49.46%
2015-03-31,209.56万,17.66%,-717.37万,-91.18%,1.17亿,-28.27%,0.0100,5.20,2.38,1.67,-0.14,5.53%,52.49%,0.11%,0.11%,1346.96,0.09,978.26,368.70,1.73,0.85,0.85,1.08,50.06%
2015-06-30,2002.92万,-0.19%,161.80万,-82.12%,3.18亿,-16.31%,0.0600,5.26,2.38,1.72,-0.23,10.05%,46.49%,1.09%,1.08%,956.18,0.27,671.14,285.04,1.56,0.78,0.78,1.14,51.50%
2015-09-30,2564.04万,-28.57%,1469.23万,-27.59%,7.31亿,-7.45%,0.0647,5.31,2.38,1.77,-0.28,11.51%,46.12%,2.13%,2.11%,886.26,0.44,617.71,268.55,1.55,0.78,0.78,1.16,51.98%
2015-12-31,6340.80万,51.43%,-495.50万,-328.78%,12.20亿,-11.15%,0.1601,5.31,2.38,1.77,-0.12,8.79%,40.62%,2.09%,2.07%,614.17,0.88,411.19,202.98,1.52,0.87,0.87,1.15,51.50%
2016-03-31,-604.70万,-388.56%,-1760.99万,-145.48%,2.60亿,51.88%,-0.0153,5.31,2.38,1.77,-0.03,3.28%,43.29%,0.03%,0.03%,806.58,0.16,550.46,256.12,1.53,0.83,0.83,1.20,52.50%
2016-06-30,4064.77万,102.94%,-3080.33万,-2003.76%,7.02亿,56.14%,0.1026,5.34,2.38,1.79,-0.20,6.83%,39.70%,1.11%,1.10%,574.71,0.47,382.98,191.73,1.46,0.76,0.76,1.23,53.06%
2016-09-30,6277.33万,144.82%,-1.37亿,-1034.78%,10.38亿,42.13%,0.1531,6.86,4.08,1.63,-0.33,8.52%,40.10%,2.58%,2.00%,563.35,0.70,388.27,175.09,2.11,1.29,1.29,1.06,50.17%
2016-12-31,9290.16万,46.51%,-2.61亿,-5177.30%,16.22亿,32.95%,0.2202,6.97,4.12,1.70,-0.44,8.50%,39.73%,3.60%,2.91%,457.36,1.10,325.97,131.39,1.96,1.14,1.14,1.00,48.57%
2017-03-31,160.40万,126.53%,-1.08亿,-512.48%,4.15亿,59.71%,0.0035,6.97,4.12,1.70,-0.0100,1.62%,33.30%,0.05%,0.05%,558.73,0.22,405.59,153.14,1.92,1.06,1.06,1.07,50.34%
2017-06-30,5278.88万,29.87%,-1.81亿,-486.35%,10.45亿,48.87%,0.1153,7.06,4.12,1.79,-0.0018,6.80%,35.90%,1.64%,1.63%,502.30,0.49,368.32,133.98,1.75,0.92,0.92,1.15,52.03%
2017-09-30,8026.36万,27.86%,-2.06亿,-50.16%,15.50亿,49.25%,0.1752,7.12,4.12,1.85,-0.46,6.92%,38.77%,2.49%,2.46%,569.69,0.62,437.39,132.30,1.61,0.78,0.78,1.32,55.60%
2017-12-31,1.26亿,35.21%,-2.08亿,20.63%,22.23亿,37.01%,0.2743,7.22,4.12,1.95,0.07,7.53%,36.59%,3.87%,3.80%,525.66,0.88,409.98,115.69,1.50,0.75,0.75,1.41,57.27%
2018-03-31,1535.95万,857.58%,-1197.05万,88.90%,5.42亿,30.85%,0.0335,7.25,4.12,1.98,-0.56,3.40%,41.91%,0.46%,0.46%,745.68,0.15,618.13,127.55,1.37,0.59,0.59,1.52,59.09%
2018-06-30,1.19亿,125.44%,6319.89万,134.99%,13.95亿,33.44%,0.2598,7.45,4.12,2.18,-0.07,9.66%,38.67%,3.53%,3.49%,571.37,0.39,463.92,107.46,1.40,0.67,0.67,1.61,60.55%
2018-09-30,1.69亿,110.12%,7507.21万,136.40%,21.01亿,35.59%,0.3682,7.56,4.12,2.29,0.12,9.46%,40.25%,4.98%,4.87%,642.02,0.51,529.10,112.92,1.40,0.61,0.61,1.85,63.78%
2018-12-31,2.34亿,86.05%,7631.72万,136.77%,33.24亿,49.53%,0.5102,7.75,4.16,2.43,-0.04,8.51%,38.38%,6.83%,6.59%,529.09,0.81,443.62,85.46,1.27,0.54,0.54,1.76,62.49%
2019-03-31,1991.38万,29.65%,-2247.61万,-87.76%,7.08亿,30.51%,0.0435,7.79,4.16,2.48,-0.55,3.97%,44.88%,0.53%,0.56%,861.48,0.12,749.38,112.11,1.31,0.45,0.45,1.79,62.87%
2019-06-30,1.29亿,8.03%,2547.50万,-59.69%,16.55亿,18.63%,0.2807,7.97,4.16,2.66,-1.04,9.44%,43.66%,3.57%,3.52%,756.28,0.28,652.65,103.63,1.38,0.50,0.50,1.92,64.39%
2019-09-30,2.19亿,30.09%,7185.61万,-4.28%,27.37亿,30.24%,0.4790,8.17,4.16,2.86,-2.10,9.62%,42.05%,5.98%,5.86%,658.95,0.48,562.15,96.80,1.50,0.54,0.54,1.87,63.76%
2019-12-31,3.09亿,32.24%,7016.31万,-8.06%,40.58亿,22.10%,0.6708,11.94,7.94,2.85,-1.92,9.11%,40.53%,8.01%,5.28%,575.01,0.73,496.07,78.93,1.77,0.97,0.96,1.30,55.59%
2020-03-31,2648.65万,33.01%,-1294.01万,42.43%,9.38亿,32.49%,0.0540,11.88,8.18,2.88,1.46,3.82%,36.41%,0.45%,0.45%,673.93,0.16,574.35,99.58,1.49,0.77,0.76,1.36,56.73%
2020-06-30,1.84亿,43.18%,9883.40万,287.96%,21.77亿,31.57%,0.3735,12.14,8.18,3.13,1.11,9.97%,36.32%,3.05%,3.06%,625.57,0.34,524.32,101.25,1.42,0.67,0.66,1.42,57.63%
2020-09-30,3.27亿,48.86%,1.75亿,142.90%,38.36亿,40.16%,0.6655,12.69,8.45,3.41,0.33,10.12%,35.17%,5.39%,5.19%,546.69,0.60,451.81,94.89,1.33,0.63,0.63,1.48,58.57%
2020-12-31,5.37亿,73.75%,1.97亿,180.81%,60.56亿,49.23%,1.0935,13.66,9.00,3.83,2.79,10.42%,36.69%,8.51%,7.92%,472.65,0.89,402.28,70.37,1.39,0.67,0.63,1.53,59.40%
