报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2016-12-31,-3.03亿,False,-3.80亿,False,43.97亿,False,-0.3444,3.09,6.14,-4.28,1.26,-6.87%,14.49%,-9.92%,-11.14%,116.85,5.52,65.20,51.65,1.96,1.47,1.47,1.75,63.57%
2017-12-31,7028.29万,123.22%,717.52万,101.89%,58.76亿,33.63%,0.0800,4.36,7.26,-4.19,1.90,-1.75%,17.62%,2.55%,1.83%,99.35,6.12,58.80,40.55,1.91,1.50,1.50,1.38,54.13%
2018-09-30,4.51亿,False,4.05亿,False,48.93亿,False,False,False,False,False,False,11.07%,False,False,False,False,False,False,False,False,False,False,False,False
2018-12-31,4.29亿,511.02%,3.22亿,4390.32%,62.71亿,6.73%,0.4886,4.72,7.26,-3.68,1.69,8.57%,25.20%,10.61%,10.35%,117.04,4.51,79.88,37.15,1.10,0.82,0.82,1.20,49.76%
2019-03-31,1553.29万,False,-4686.23万,False,11.86亿,False,0.0235,False,False,False,False,3.05%,16.20%,0.50%,False,False,False,False,False,False,False,False,False,False
2019-06-30,1.64亿,False,6086.77万,False,26.40亿,False,0.1870,5.91,6.58,-1.76,0.09,8.06%,20.68%,3.53%,3.16%,143.86,1.85,97.46,46.40,2.68,2.01,2.01,0.66,36.03%
2019-09-30,2.70亿,-40.23%,1.32亿,-67.49%,41.32亿,-15.56%,0.3068,6.38,6.58,-1.64,0.29,8.58%,22.38%,5.56%,5.10%,139.63,2.84,95.19,44.44,2.60,1.96,1.96,0.68,36.45%
2019-12-31,4.01亿,-6.68%,2.06亿,-35.97%,57.43亿,-8.42%,0.4559,6.54,6.57,-1.48,0.69,8.92%,22.84%,8.03%,7.39%,135.23,3.96,90.83,44.40,2.57,1.99,1.75,0.68,36.70%
2020-03-31,1.14亿,631.73%,9004.97万,292.16%,13.82亿,16.53%,0.0935,8.05,7.72,-0.91,0.22,9.09%,24.92%,1.70%,1.16%,146.82,0.95,94.95,51.87,4.58,3.98,3.75,0.39,26.03%
2020-06-30,4.03亿,145.27%,3.45亿,466.46%,30.63亿,16.03%,0.3702,8.25,7.72,-0.71,0.42,14.58%,27.30%,4.88%,4.02%,139.32,2.00,90.18,49.14,4.37,3.79,3.55,0.39,26.36%
2020-09-30,6.87亿,154.59%,6.01亿,355.80%,48.89亿,18.32%,0.6070,8.41,7.66,-0.48,0.85,15.50%,28.13%,7.70%,6.72%,160.93,3.01,89.79,71.14,3.08,2.69,2.53,0.52,32.00%
2020-12-31,9.64亿,140.46%,8.53亿,313.52%,69.77亿,21.50%,0.8362,8.70,7.75,-0.25,1.51,15.19%,27.47%,10.34%,9.11%,128.61,4.36,82.66,45.95,3.60,3.16,2.98,0.45,28.62%
2021-03-31,4.00亿,251.85%,3.71亿,311.45%,20.45亿,47.92%,0.3289,8.66,7.37,0.08,0.62,19.92%,31.47%,3.76%,3.80%,123.47,1.11,80.80,42.67,3.17,2.75,2.58,0.47,31.36%
