报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2021-06-30,10.68亿,164.86%,10.15亿,194.43%,44.55亿,45.44%,0.8537,12.18,10.43,0.58,1.02,23.95%,34.06%,8.51%,6.64%,118.35,2.35,76.44,41.91,3.29,3.01,2.89,0.32,23.81%
2021-09-30,16.84亿,145.20%,15.54亿,158.60%,69.28亿,41.70%,1.3218,12.65,10.43,1.05,1.87,24.18%,35.42%,12.15%,10.09%,119.57,3.41,79.23,40.34,3.26,2.95,2.87,0.30,23.01%
2021-12-31,22.68亿,135.34%,20.99亿,145.98%,92.49亿,32.56%,1.7644,13.10,10.40,1.49,2.62,24.41%,35.33%,15.48%,13.12%,122.19,4.25,84.77,37.41,3.41,3.03,2.95,0.27,21.14%
2022-03-31,6.19亿,54.88%,6.00亿,62.00%,25.14亿,22.94%,0.4692,13.57,10.40,1.96,0.78,24.27%,36.51%,3.52%,3.46%,122.84,1.05,85.76,37.08,3.94,3.53,3.42,0.29,22.24%
2022-06-30,13.55亿,26.87%,13.06亿,28.68%,51.46亿,15.51%,1.0261,14.15,10.43,2.51,1.26,26.03%,37.47%,7.53%,7.25%,127.01,2.05,87.72,39.29,4.18,3.74,3.63,0.28,21.07%
2022-09-30,20.57亿,22.19%,18.62亿,19.84%,76.32亿,10.17%,1.5584,14.68,10.45,3.05,1.80,26.70%,37.36%,11.22%,10.62%,131.30,2.88,93.66,37.64,4.50,3.98,3.85,0.26,19.64%
2022-12-31,26.17亿,15.40%,22.52亿,7.30%,100.60亿,8.77%,1.9826,15.14,10.48,3.47,2.32,25.84%,36.71%,14.04%,13.10%,133.35,3.72,96.82,36.54,3.73,3.27,3.14,0.29,21.78%
2023-03-31,3.80亿,-38.59%,3.36亿,-44.00%,23.46亿,-6.67%,0.2881,15.45,10.51,3.76,0.37,15.88%,34.80%,1.88%,1.86%,157.12,0.78,115.03,42.09,3.24,2.80,2.65,0.31,23.16%
2023-06-30,7.78亿,-42.57%,7.32亿,-43.95%,50.30亿,-2.25%,0.5893,15.62,10.58,3.86,0.59,15.15%,34.30%,3.81%,3.77%,146.56,1.72,104.42,42.13,3.36,2.91,2.73,0.29,21.63%
2023-09-30,10.56亿,-48.66%,9.20亿,-50.60%,75.30亿,-1.33%,0.8001,15.86,10.60,4.07,0.96,13.78%,33.42%,5.16%,5.05%,149.24,2.52,107.13,42.11,3.01,2.58,2.43,0.32,22.43%
2023-12-31,14.79亿,-43.48%,11.27亿,-49.97%,99.01亿,-1.59%,1.1206,16.33,10.76,4.39,1.32,14.53%,32.22%,7.15%,6.86%,145.37,3.49,103.07,42.31,3.77,3.29,3.13,0.26,19.12%
2024-03-31,3319.61万,-91.27%,5772.13万,-82.83%,21.16亿,-9.82%,0.0251,16.42,10.84,4.40,0.22,0.06%,26.48%,0.15%,0.15%,166.05,0.78,115.49,50.56,2.59,2.16,2.03,0.26,19.00%
2024-06-30,2.80亿,-63.96%,2.85亿,-61.11%,47.60亿,-5.36%,0.2121,16.51,10.85,4.48,0.49,4.72%,26.40%,1.29%,1.28%,149.68,1.80,99.91,49.77,2.77,2.33,2.17,0.23,17.52%
2024-09-30,4.99亿,-52.72%,4.70亿,-48.91%,74.72亿,-0.77%,0.3776,16.69,10.87,4.65,0.84,5.44%,27.14%,2.28%,2.26%,146.97,2.75,98.15,48.82,2.85,2.39,2.23,0.23,17.43%
2024-12-31,7.62亿,-48.46%,6.44亿,-42.87%,101.19亿,2.20%,0.5765,16.85,10.83,4.84,1.54,6.54%,27.19%,3.47%,3.42%,148.33,3.63,99.26,49.08,3.23,2.69,2.56,0.22,16.53%
2025-03-31,8321.66万,150.68%,6493.62万,12.50%,23.55亿,11.29%,0.0629,16.97,10.90,4.89,0.20,2.21%,25.29%,0.37%,0.37%,165.55,0.82,109.25,56.30,3.36,2.79,2.61,0.21,16.37%
2025-06-30,3.39亿,20.85%,2.73亿,-3.95%,52.18亿,9.62%,0.2556,17.10,10.90,5.03,0.54,5.35%,25.65%,1.50%,1.49%,154.54,1.83,98.13,56.41,3.36,2.81,2.63,0.22,16.58%
2025-09-30,5.26亿,5.25%,3.95亿,-15.98%,80.69亿,7.99%,0.3963,17.25,10.90,5.17,1.03,5.50%,26.44%,2.32%,2.30%,153.72,2.71,99.52,54.20,3.16,2.63,2.46,0.23,17.62%
2025-12-31,6.61亿,-13.37%,4.71亿,-26.81%,110.54亿,9.24%,0.4979,17.31,10.90,5.24,1.57,5.02%,26.38%,2.91%,2.87%,150.50,3.72,96.79,53.71,2.95,2.47,2.31,0.25,18.71%
2026-03-31,3.30亿,296.56%,1.41亿,117.16%,28.57亿,21.34%,0.2486,17.43,10.78,5.49,0.47,10.57%,25.49%,1.43%,1.43%,151.73,0.92,97.67,54.06,3.16,2.65,2.47,0.24,17.87%
