报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2012-12-31,8629.91万,False,4659.16万,False,10.06亿,False,1.9600,5.90,2.27,2.57,-0.63,8.58%,18.78%,39.11%,33.23%,176.48,4.95,72.70,103.78,1.59,1.06,1.06,1.40,58.41%
2013-12-31,1.27亿,47.53%,6739.23万,44.64%,11.41亿,13.51%,1.9000,3.89,1.39,1.46,0.50,11.15%,24.74%,46.27%,36.39%,166.55,5.25,68.53,98.02,1.55,1.11,1.11,1.23,55.18%
2014-12-31,9797.20万,-23.05%,8555.64万,26.95%,14.08亿,23.32%,0.2800,3.61,1.12,1.42,0.05,6.96%,19.05%,24.52%,18.85%,158.05,5.68,63.42,94.63,1.56,1.03,1.03,1.21,54.74%
2015-12-31,1.15亿,17.76%,1.07亿,24.74%,19.83亿,40.89%,0.3100,4.46,1.12,2.17,-0.12,5.44%,19.26%,19.86%,17.96%,147.98,6.18,58.29,89.69,1.41,0.96,0.96,1.27,55.58%
2016-03-31,2837.04万,False,2837.04万,False,4.62亿,False,0.0800,False,False,False,0.02,5.94%,20.80%,3.51%,False,False,False,False,False,False,False,False,False,False
2016-06-30,6906.57万,False,6343.12万,False,10.45亿,False,0.1700,False,False,False,False,6.25%,20.22%,10.17%,False,False,False,False,False,False,False,False,False,False
2016-09-30,1.06亿,False,9850.74万,False,16.13亿,False,0.2800,False,False,False,False,6.22%,20.17%,13.85%,False,False,False,False,False,False,False,False,False,False
2016-12-31,1.42亿,22.81%,1.27亿,19.03%,21.61亿,8.95%,0.3800,2.16,0.0074,0.99,0.19,6.08%,20.12%,19.53%,17.52%,166.93,5.69,63.30,103.62,1.55,1.07,1.07,1.03,50.85%
2017-03-31,3596.67万,26.78%,2421.22万,-14.66%,3.98亿,-13.87%,0.1000,2.22,0.0074,1.09,0.19,8.25%,19.23%,4.32%,4.32%,230.75,0.91,99.30,131.44,1.63,1.05,1.05,0.93,48.28%
2017-06-30,5881.01万,-14.85%,4707.65万,-25.78%,9.15亿,-12.46%,0.1400,2.61,0.49,1.03,0.06,5.74%,19.15%,6.64%,5.41%,214.72,1.99,90.40,124.33,1.91,1.25,1.25,0.74,42.81%
