event,asset,car_event_end_pct,ar_mean_pct,ar_tstat,ar_pvalue,est_window,n_ar
科创板 IPO 受理（上交所）|半导体指数,半导体指数,6.4532364233467865,0.4964028017959065,1.537695152886951,0.15006343380968312,-120~-21,13
科创板 IPO 受理（上交所）|存储同业等权,存储同业等权,5.08075713431921,0.3908274718707085,0.6697561011760842,0.5156942681571485,-120~-21,13
辅导工作完成（安徽证监局备案）|半导体指数,半导体指数,-0.5076411983567622,-0.033842746557117484,-0.11655719675356413,0.9088664721553777,-120~-21,15
辅导工作完成（安徽证监局备案）|存储同业等权,存储同业等权,-0.5580928262605988,-0.037206188417373255,-0.11624544704909029,0.9091090474617193,-120~-21,15
