date,ret,mkt,rel_day,expected_ret,ar,car,event,alpha_est,beta_est,est_r2,asset
2025-06-27,0.01035918754545162,-0.006148473651932829,-10,-0.012227658602839253,0.022586846148290873,0.022586846148290873,辅导工作完成（安徽证监局备案）|半导体指数,-0.001114947465374182,1.8073934713815825,0.6662502061051295,半导体指数
2025-06-30,0.016003289995692338,0.003651678660437474,-7,0.005485072705083951,0.010518217290608388,0.03310506343889926,辅导工作完成（安徽证监局备案）|半导体指数,-0.001114947465374182,1.8073934713815825,0.6662502061051295,半导体指数
2025-07-01,0.0041068827097876515,0.0016978825882305593,-6,0.001953794439766195,0.0021530882700214566,0.035258151708920715,辅导工作完成（安徽证监局备案）|半导体指数,-0.001114947465374182,1.8073934713815825,0.6662502061051295,半导体指数
2025-07-02,-0.02196472276772332,0.000234099851829761,-5,-0.000691836921525676,-0.021272885846197645,0.01398526586272307,辅导工作完成（安徽证监局备案）|半导体指数,-0.001114947465374182,1.8073934713815825,0.6662502061051295,半导体指数
2025-07-03,0.002947792510745728,0.006182796039744698,-4,0.010059797731744289,-0.007112005220998561,0.006873260641724509,辅导工作完成（安徽证监局备案）|半导体指数,-0.001114947465374182,1.8073934713815825,0.6662502061051295,半导体指数
2025-07-04,-0.009539111781584175,0.0035621869383286597,-3,0.005323325950801786,-0.01486243773238596,-0.00798917709066145,辅导工作完成（安徽证监局备案）|半导体指数,-0.001114947465374182,1.8073934713815825,0.6662502061051295,半导体指数
2025-07-07,-0.0009486378888281521,-0.0042760251046970454,0,-0.008843407323067369,0.007894769434239217,-9.440765642223375e-05,辅导工作完成（安徽证监局备案）|半导体指数,-0.001114947465374182,1.8073934713815825,0.6662502061051295,半导体指数
2025-07-08,0.0145956459167631,0.008392567793350736,1,0.014053724772455272,0.0005419211443078286,0.00044751348788559485,辅导工作完成（安徽证监局备案）|半导体指数,-0.001114947465374182,1.8073934713815825,0.6662502061051295,半导体指数
2025-07-09,-0.01166510984521385,-0.0017636821040537543,2,-0.00430261498583347,-0.00736249485938038,-0.006914981371494785,辅导工作完成（安徽证监局备案）|半导体指数,-0.001114947465374182,1.8073934713815825,0.6662502061051295,半导体指数
2025-07-10,-0.001938462758259818,0.0046657802611163035,3,0.007317953317468481,-0.009256416075728299,-0.016171397447223082,辅导工作完成（安徽证监局备案）|半导体指数,-0.001114947465374182,1.8073934713815825,0.6662502061051295,半导体指数
2025-07-11,0.010373598468216949,0.001192760941081561,4,0.0010408408724555836,0.009332757595761366,-0.006838639851461716,辅导工作完成（安徽证监局备案）|半导体指数,-0.001114947465374182,1.8073934713815825,0.6662502061051295,半导体指数
2025-07-14,-0.002195123016602407,0.0007126120882026132,7,0.00017302297047081753,-0.0023681459870732247,-0.009206785838534941,辅导工作完成（安徽证监局备案）|半导体指数,-0.001114947465374182,1.8073934713815825,0.6662502061051295,半导体指数
2025-07-15,-0.0035167356431764496,0.00034746524600826056,8,-0.0004869410482068563,-0.0030297945949695933,-0.012236580433504535,辅导工作完成（安徽证监局备案）|半导体指数,-0.001114947465374182,1.8073934713815825,0.6662502061051295,半导体指数
2025-07-16,0.003936919177696563,-0.0029514334680910137,9,-0.006449349046818982,0.010386268224515546,-0.001850312208988989,辅导工作完成（安徽证监局备案）|半导体指数,-0.001114947465374182,1.8073934713815825,0.6662502061051295,半导体指数
2025-07-17,0.007967281723880726,0.006809988615497753,10,0.01119338149845936,-0.0032260997745786335,-0.005076411983567623,辅导工作完成（安徽证监局备案）|半导体指数,-0.001114947465374182,1.8073934713815825,0.6662502061051295,半导体指数
2025-06-27,0.011727403635946368,-0.006148473651932829,-10,-0.011415320562950942,0.023142724198897312,0.023142724198897312,辅导工作完成（安徽证监局备案）|存储同业等权,-0.0012128949336997702,1.6593428234085297,0.5504617621321938,存储同业等权
2025-06-30,0.0116343227999433,0.003651678660437474,-7,0.004846491844891225,0.006787830955052075,0.029930555153949386,辅导工作完成（安徽证监局备案）|存储同业等权,-0.0012128949336997702,1.6593428234085297,0.5504617621321938,存储同业等权
2025-07-01,-0.010666229282376767,0.0016978825882305593,-6,0.0016044743540709078,-0.012270703636447675,0.017659851517501712,辅导工作完成（安徽证监局备案）|存储同业等权,-0.0012128949336997702,1.6593428234085297,0.5504617621321938,存储同业等权
2025-07-02,-0.0226577547460912,0.000234099851829761,-5,-0.0008244430246050562,-0.021833311721486146,-0.004173460203984434,辅导工作完成（安徽证监局备案）|存储同业等权,-0.0012128949336997702,1.6593428234085297,0.5504617621321938,存储同业等权
2025-07-03,0.006980290474860533,0.006182796039744698,-4,0.009046483303449274,-0.0020661928285887407,-0.006239653032573175,辅导工作完成（安徽证监局备案）|存储同业等权,-0.0012128949336997702,1.6593428234085297,0.5504617621321938,存储同业等权
2025-07-04,-0.008854104371471968,0.0035621869383286597,-3,0.004697994398055494,-0.013552098769527461,-0.019791751802100636,辅导工作完成（安徽证监局备案）|存储同业等权,-0.0012128949336997702,1.6593428234085297,0.5504617621321938,存储同业等权
2025-07-07,-0.0014191096159188665,-0.0042760251046970454,0,-0.008308286503893519,0.0068891768879746525,-0.012902574914125983,辅导工作完成（安徽证监局备案）|存储同业等权,-0.0012128949336997702,1.6593428234085297,0.5504617621321938,存储同业等权
2025-07-08,0.019867012733148465,0.008392567793350736,1,0.012713252204166334,0.007153760528982131,-0.005748814385143852,辅导工作完成（安徽证监局备案）|存储同业等权,-0.0012128949336997702,1.6593428234085297,0.5504617621321938,存储同业等权
2025-07-09,-0.017455560276788167,-0.0017636821040537543,2,-0.004139448175835423,-0.013316112100952744,-0.019064926486096596,辅导工作完成（安徽证监局备案）|存储同业等权,-0.0012128949336997702,1.6593428234085297,0.5504617621321938,存储同业等权
