year,data_type,forecast_bn,ci_low_bn,ci_high_bn
2026,ols_extrapolation,844.0041349767707,-941.2056408320746,2629.213910785616
2027,ols_extrapolation,1107.565006790217,-1461.7907264904998,3676.920740070934
