model,key_coef,r2,p_value
营收~年份,263.56087181342593,0.9426007840804991,0.1540203524617932
归母净利~营收,0.32526850286535297,0.9399909702507737,0.15755452780915702
研发~营收,0.10319318394345199,0.9305331399584664,0.16979713132133337
