name,beta,alpha,r2
兆易创新,1.3797708987485986,0.316899470798664,0.23804818681865025
澜起科技,1.30800436412059,0.3034390283020714,0.20530388439757008
北京君正,1.42567251250577,0.18865066128285188,0.21467444598924446
中芯国际,1.0425563153080526,0.14559541645226826,0.18871537436990038
北方华创,1.2183709821877087,0.4541324300888909,0.1958155885701074
中微公司,1.315419075610266,0.37662942314564846,0.17961825342897475
华润微,1.2828450666643367,0.13050268893557665,0.2599969674975585
韦尔股份,1.3142945539321425,0.03954560047205051,0.29811586058283557
